anon_learner_id,course_title,domain,category,level,course_length_hours,certification_type,completion_rate_percent,score_obtained_percent,duration_spent_hours,lms_source,course_start,course_end
ebc68b5eef3c,Pedagogy in Digital Learning,Security,Elective,Expert,14.13,Certificate of Completion,64.89,96.08,11.53,Blackboard,2023-03-06,2023-03-06
4d914e67bd8e,Cloud Computing Fundamentals,Design,Elective,Beginner,14.49,Certificate of Completion,72.47,75.57,10.97,Chamilo,2024-07-16,2024-07-16
ecf86f24d94a,Educational Psychology,Security,Seminar,Expert,5.77,None,57.15,71.54,3.51,Sakai,2023-03-11,2023-03-11
290e1e5c1d13,Cloud Computing Fundamentals,Security,Seminar,Expert,12.08,Badge,51.9,90.73,5.59,Canvas,2026-03-22,2026-03-22
ccdb1bf1c326,Introduction to Data Science,Education,Core,Intermediate,7.37,Certificate of Completion,15.51,89.82,1.1,Moodle,2023-07-03,2023-07-03
fed17cc5af23,Pedagogy in Digital Learning,Cloud,Certification,Advanced,7.17,Certificate of Completion,15.12,67.69,0.9,Open edX,2023-04-07,2023-04-07
6d617e03bb58,Statistics for Research,Education,Elective,Intermediate,19.53,Certificate of Completion,57.67,69.08,9.5,Chamilo,2025-05-28,2025-05-28
57021fe39142,Database Design,Design,Core,Beginner,24.05,None,64.46,63.24,17.95,Blackboard,2023-07-16,2023-07-17
8a9054d77567,Pedagogy in Digital Learning,Business,Seminar,Beginner,13.39,Certificate of Completion,67.89,87.65,10.73,Blackboard,2023-03-09,2023-03-09
7bc0d4c6b4c6,Statistics for Research,Education,Elective,Beginner,5.99,None,66.75,100.0,4.48,Moodle,2023-02-03,2023-02-03
3de0772ffb40,Introduction to Data Science,Statistics,Core,Intermediate,4.83,None,95.6,64.61,5.39,Open edX,2024-01-19,2024-01-19
9e65680e3b1d,Instructional Design Principles,Statistics,Core,Intermediate,2.23,Certificate of Completion,63.61,66.52,1.35,Sakai,2027-03-29,2027-03-29
ff05a710b380,Machine Learning Fundamentals,Statistics,Core,Beginner,10.93,Professional Certificate,82.69,74.91,9.52,Open edX,2023-12-08,2023-12-08
6ba152f5ba0b,Cloud Computing Fundamentals,Business,Core,Intermediate,7.78,Diploma,22.85,67.14,2.09,Canvas,2023-07-16,2023-07-16
deceaded3ac1,Project Management Essentials,Computer Science,Core,Intermediate,6.51,Certificate of Completion,69.62,62.53,3.87,Brightspace,2023-05-06,2023-05-06
e9f7c1d4a086,Instructional Design Principles,Education,Elective,Beginner,10.49,Certificate of Completion,32.6,51.88,3.39,Brightspace,2023-03-22,2023-03-22
4ea02e335ef5,Educational Psychology,Education,Elective,Advanced,17.48,Badge,61.84,89.23,8.21,Moodle,2024-03-20,2024-03-20
d9521c484a29,Introduction to Data Science,Statistics,Core,Beginner,5.99,Professional Certificate,22.79,79.95,1.03,Moodle,2023-10-06,2023-10-06
24cddc2e3731,Database Design,Data Science,Elective,Beginner,2.6,Professional Certificate,78.56,82.75,1.48,Canvas,2023-02-03,2023-02-03
